date;prix;rendements
17/02/2017;5,497;-0,018568113
20/02/2017;5,393;-0,018919411
21/02/2017;5,336;-0,010569256
22/02/2017;5,301;-0,00655922
23/02/2017;5,246;-0,010375401
24/02/2017;5,15;-0,018299657
27/02/2017;5,17;0,003883495
28/02/2017;5,151;-0,003675048
01/03/2017;5,361;0,040768783
02/03/2017;5,374;0,002424921
03/03/2017;5,528;0,028656494
06/03/2017;5,435;-0,016823444
07/03/2017;5,41;-0,004599816
08/03/2017;5,435;0,004621072
09/03/2017;5,567;0,024287029
10/03/2017;5,659;0,016525957
13/03/2017;5,663;0,000706839
14/03/2017;5,613;-0,008829242
15/03/2017;5,66;0,008373419
16/03/2017;5,667;0,001236749
17/03/2017;5,668;0,00017646
20/03/2017;5,632;-0,006351447
21/03/2017;5,628;-0,000710227
22/03/2017;5,579;-0,008706468
23/03/2017;5,64;0,010933859
24/03/2017;5,591;-0,008687943
27/03/2017;5,563;-0,005008049
28/03/2017;5,671;0,019413985
29/03/2017;5,678;0,00123435
30/03/2017;5,723;0,007925326
31/03/2017;5,776;0,009260877
03/04/2017;5,689;-0,015062327
04/04/2017;5,65;-0,006855335
05/04/2017;5,662;0,002123894
06/04/2017;5,706;0,007771106
07/04/2017;5,75;0,007711181
10/04/2017;5,697;-0,009217391
11/04/2017;5,626;-0,0124627
12/04/2017;5,544;-0,014575187
13/04/2017;5,41;-0,024170274
18/04/2017;5,419;0,001663586
19/04/2017;5,538;0,021959771
20/04/2017;5,702;0,029613579
21/04/2017;5,793;0,015959313
24/04/2017;6,316;0,090281374
25/04/2017;6,348;0,005066498
26/04/2017;6,404;0,008821676
27/04/2017;6,358;-0,007183011
28/04/2017;6,387;0,004561183
02/05/2017;6,44;0,008298106
03/05/2017;6,423;-0,002639752
04/05/2017;6,485;0,00965281
05/05/2017;6,576;0,014032382
08/05/2017;6,464;-0,01703163
09/05/2017;6,445;-0,002939356
10/05/2017;6,525;0,012412723
11/05/2017;6,456;-0,010574713
12/05/2017;6,404;-0,008054523
15/05/2017;6,562;0,02467208
16/05/2017;6,552;-0,001523926
17/05/2017;6,343;-0,031898657
18/05/2017;6,254;-0,014031216
19/05/2017;6,347;0,014870483
22/05/2017;6,281;-0,010398614
23/05/2017;6,444;0,025951282
24/05/2017;6,525;0,012569832
25/05/2017;6,475;-0,007662835
26/05/2017;6,121;-0,054671815
29/05/2017;6,096;-0,0040843
30/05/2017;5,937;-0,026082677
31/05/2017;5,88;-0,009600808
01/06/2017;5,956;0,01292517
02/06/2017;5,963;0,001175285
05/06/2017;5,914;-0,00821734
06/06/2017;5,841;-0,012343591
07/06/2017;5,872;0,00530731
08/06/2017;5,962;0,015326975
09/06/2017;6,063;0,016940624
12/06/2017;5,962;-0,01665842
13/06/2017;5,998;0,006038242
14/06/2017;5,813;-0,030843615
15/06/2017;5,821;0,001376226
16/06/2017;5,829;0,001374334
19/06/2017;5,955;0,021616058
20/06/2017;5,915;-0,006717045
21/06/2017;5,866;-0,008284024
22/06/2017;5,889;0,0039209
23/06/2017;5,812;-0,013075225
26/06/2017;5,897;0,014624914
27/06/2017;5,945;0,008139732
28/06/2017;6,079;0,02253995
29/06/2017;6,002;-0,012666557
30/06/2017;5,877;-0,020826391
03/07/2017;6,096;0,03726391
04/07/2017;6,066;-0,00492126
05/07/2017;6,027;-0,006429278
06/07/2017;6,135;0,017919363
07/07/2017;6,101;-0,005541972
10/07/2017;6,109;0,00131126
11/07/2017;6,089;-0,003273858
12/07/2017;6,101;0,001970767
13/07/2017;6,205;0,017046386
14/07/2017;6,124;-0,013053989
17/07/2017;6,086;-0,006205095
18/07/2017;5,98;-0,017417023
19/07/2017;6,011;0,005183946
20/07/2017;6,007;-0,000665447
21/07/2017;5,92;-0,014483103
24/07/2017;6,017;0,016385135
25/07/2017;6,143;0,020940668
26/07/2017;6,176;0,005371968
27/07/2017;6,179;0,000485751
28/07/2017;6,2;0,003398608
31/07/2017;6,143;-0,009193548
01/08/2017;6,188;0,007325411
02/08/2017;6,214;0,004201681
03/08/2017;6,357;0,023012552
04/08/2017;6,531;0,027371402
07/08/2017;6,615;0,012861736
08/08/2017;6,68;0,009826153
09/08/2017;6,556;-0,018562874
10/08/2017;6,524;-0,004881025
11/08/2017;6,442;-0,012568976
14/08/2017;6,487;0,006985408
